,cell_type,level,niche,npos,ncont,pval,effect,dge
173,Alveolar cells,niche,Airways,11,596,0.0026994608182846474,0.20398500432189534,"[{'names': 'SCGB3A1', 'logfoldchanges': 3.616208076477051, 'pvals_adj': 0.9989686164155895}, {'names': 'RPL21', 'logfoldchanges': 1.4780826568603516, 'pvals_adj': 0.9989686164155895}, {'names': 'MGP', 'logfoldchanges': 2.8361856937408447, 'pvals_adj': 0.9989686164155895}, {'names': 'VEGFB', 'logfoldchanges': 2.8757541179656982, 'pvals_adj': 0.9989686164155895}, {'names': 'CXCL17', 'logfoldchanges': 1.5909799337387085, 'pvals_adj': 0.9989686164155895}]"
174,B cells,global,,174,0,0.37436361135477975,0.23246882310847333,
175,B cells,niche,Vascular stroma,28,146,0.666854119402251,0.19643568943586795,"[{'names': 'PSAP', 'logfoldchanges': 1.332604169845581, 'pvals_adj': 1.0}, {'names': 'IGFBP7', 'logfoldchanges': 1.6863470077514648, 'pvals_adj': 1.0}, {'names': 'RPL21', 'logfoldchanges': 1.183077096939087, 'pvals_adj': 1.0}, {'names': 'EMP3', 'logfoldchanges': 2.0894877910614014, 'pvals_adj': 1.0}, {'names': 'MGP', 'logfoldchanges': 1.9810324907302856, 'pvals_adj': 1.0}]"
176,B cells,niche,Smooth muscle structures,4,170,0.4946906219753644,0.2196777427897785,"[{'names': 'MX1', 'logfoldchanges': 4.441193103790283, 'pvals_adj': 0.9760935287907248}, {'names': 'MALAT1', 'logfoldchanges': 1.1014728546142578, 'pvals_adj': 0.9760935287907248}, {'names': 'IL27RA', 'logfoldchanges': 5.783003330230713, 'pvals_adj': 0.9760935287907248}, {'names': 'IL11RA', 'logfoldchanges': 4.874989986419678, 'pvals_adj': 0.9760935287907248}, {'names': 'RXRB', 'logfoldchanges': 4.96642541885376, 'pvals_adj': 0.9760935287907248}]"
177,B cells,niche,Airways,6,168,0.631075536752423,0.20140383184314686,"[{'names': 'CD4', 'logfoldchanges': 3.124250650405884, 'pvals_adj': 0.9809678959381108}, {'names': 'RELT', 'logfoldchanges': 3.2155914306640625, 'pvals_adj': 0.9809678959381108}, {'names': 'H4C3', 'logfoldchanges': 3.5075719356536865, 'pvals_adj': 0.9809678959381108}, {'names': 'APP', 'logfoldchanges': 2.4859695434570312, 'pvals_adj': 0.9809678959381108}, {'names': 'BAX', 'logfoldchanges': 3.412912130355835, 'pvals_adj': 0.9809678959381108}]"
178,B cells,niche,Desmoplastic stroma,55,119,0.9842783864938017,0.11660326709086195,"[{'names': 'NEAT1', 'logfoldchanges': 1.6395798921585083, 'pvals_adj': 0.9971935595863656}, {'names': 'IL10RB', 'logfoldchanges': 1.611729383468628, 'pvals_adj': 0.9971935595863656}, {'names': 'IGHG2', 'logfoldchanges': 1.753898024559021, 'pvals_adj': 0.9971935595863656}, {'names': 'CXCR4', 'logfoldchanges': 1.382498860359192, 'pvals_adj': 0.9971935595863656}, {'names': 'TYK2', 'logfoldchanges': 0.5671945214271545, 'pvals_adj': 0.9971935595863656}]"
179,B cells,niche,Tumor surface,11,163,0.8767845898313635,0.1605284647149854,"[{'names': 'SERPINA1', 'logfoldchanges': 3.5384154319763184, 'pvals_adj': 0.997532876854494}, {'names': 'CYSTM1', 'logfoldchanges': 3.234048366546631, 'pvals_adj': 0.997532876854494}, {'names': 'HLA.DPA1', 'logfoldchanges': 1.716368317604065, 'pvals_adj': 0.997532876854494}, {'names': 'PTGES2', 'logfoldchanges': 2.726594924926758, 'pvals_adj': 0.997532876854494}, {'names': 'CLEC2D', 'logfoldchanges': 2.6520042419433594, 'pvals_adj': 0.997532876854494}]"
180,B cells,niche,T cell aggregates,54,120,0.9220145221829941,0.14843385880050258,"[{'names': 'B2M', 'logfoldchanges': 1.1609790325164795, 'pvals_adj': 0.9995016000840542}, {'names': 'CIITA', 'logfoldchanges': 1.2274166345596313, 'pvals_adj': 0.9995016000840542}, {'names': 'CXCL9', 'logfoldchanges': 2.423370838165283, 'pvals_adj': 0.9995016000840542}, {'names': 'COL9A2', 'logfoldchanges': 1.7069687843322754, 'pvals_adj': 0.9995016000840542}, {'names': 'IL32', 'logfoldchanges': 1.3702621459960938, 'pvals_adj': 0.9995016000840542}]"
181,B cells,niche,Alveolar spaces,5,169,0.940148649411004,0.14220583260598502,"[{'names': 'COL18A1', 'logfoldchanges': 6.1592020988464355, 'pvals_adj': 0.9783416797761664}, {'names': 'MIF', 'logfoldchanges': 3.6978135108947754, 'pvals_adj': 0.9783416797761664}, {'names': 'TUBB4B', 'logfoldchanges': 5.27354621887207, 'pvals_adj': 0.9783416797761664}, {'names': 'PDGFA', 'logfoldchanges': 5.403055191040039, 'pvals_adj': 0.9783416797761664}, {'names': 'TUBB', 'logfoldchanges': 3.369312047958374, 'pvals_adj': 0.9783416797761664}]"
182,B cells,niche,Excluded,4,170,0.0021717078609517757,0.3853470359451533,"[{'names': 'TCL1A', 'logfoldchanges': 3.3176777362823486, 'pvals_adj': 0.9795038154421881}, {'names': 'ICOSLG', 'logfoldchanges': 3.8109357357025146, 'pvals_adj': 0.9795038154421881}, {'names': 'VIM', 'logfoldchanges': 1.7981653213500977, 'pvals_adj': 0.9795038154421881}, {'names': 'CLEC12A', 'logfoldchanges': 3.8895351886749268, 'pvals_adj': 0.9795038154421881}, {'names': 'RPL21', 'logfoldchanges': 1.0758734941482544, 'pvals_adj': 0.9795038154421881}]"
183,B cells,niche,Macrophage islands,7,167,0.033123036196690166,0.3232530673036259,"[{'names': 'MT2A', 'logfoldchanges': 4.125392436981201, 'pvals_adj': 0.9796852246689801}, {'names': 'EZR', 'logfoldchanges': 4.276094913482666, 'pvals_adj': 0.9796852246689801}, {'names': 'EFNB3', 'logfoldchanges': 5.139694690704346, 'pvals_adj': 0.9796852246689801}, {'names': 'C1QC', 'logfoldchanges': 3.7806453704833984, 'pvals_adj': 0.9796852246689801}, {'names': 'TYK2', 'logfoldchanges': 1.9982701539993286, 'pvals_adj': 0.9796852246689801}]"
184,Basal epithelial cells,global,,733,0,6.344403209001618e-20,0.20901799896117162,
185,Basal epithelial cells,niche,Smooth muscle structures,9,724,0.7174973467608607,0.09213348382986465,"[{'names': 'TIMP1', 'logfoldchanges': 4.13947868347168, 'pvals_adj': 0.5060792333740907}, {'names': 'IL16', 'logfoldchanges': 3.6303625106811523, 'pvals_adj': 0.9944084262884316}, {'names': 'VIM', 'logfoldchanges': 2.594353437423706, 'pvals_adj': 0.9944084262884316}, {'names': 'MMP1', 'logfoldchanges': 3.2894084453582764, 'pvals_adj': 0.9944084262884316}, {'names': 'TYK2', 'logfoldchanges': 1.457505702972412, 'pvals_adj': 0.9944084262884316}]"
186,Basal epithelial cells,niche,Excluded,7,726,0.0010135406513541723,0.19489444565435493,"[{'names': 'LGALS1', 'logfoldchanges': 2.8965530395507812, 'pvals_adj': 0.9763385485093699}, {'names': 'COL5A2', 'logfoldchanges': 3.976430892944336, 'pvals_adj': 0.9763385485093699}, {'names': 'OAS1', 'logfoldchanges': 3.5080060958862305, 'pvals_adj': 0.9763385485093699}, {'names': 'COL6A2', 'logfoldchanges': 2.3182101249694824, 'pvals_adj': 0.9763385485093699}, {'names': 'HSPB1', 'logfoldchanges': 1.3697398900985718, 'pvals_adj': 0.9763385485093699}]"
187,Basal epithelial cells,niche,Vascular stroma,5,728,0.29408624153831375,0.12103542214611572,"[{'names': 'LTB', 'logfoldchanges': 5.419008255004883, 'pvals_adj': 0.9855161846805508}, {'names': 'CD74', 'logfoldchanges': 1.2656192779541016, 'pvals_adj': 0.9855161846805508}, {'names': 'AKT1', 'logfoldchanges': 4.132749557495117, 'pvals_adj': 0.9855161846805508}, {'names': 'VIM', 'logfoldchanges': 2.9471733570098877, 'pvals_adj': 0.9855161846805508}, {'names': 'TAGLN', 'logfoldchanges': 4.121040344238281, 'pvals_adj': 0.9855161846805508}]"
188,Basal epithelial cells,niche,Airways,681,52,3.3436900967722467e-25,0.4331507362889094,"[{'names': 'SCGB3A1', 'logfoldchanges': 5.239880084991455, 'pvals_adj': 6.355997940127035e-10}, {'names': 'KRT17', 'logfoldchanges': 3.596184492111206, 'pvals_adj': 2.7552941050844805e-07}, {'names': 'B2M', 'logfoldchanges': 2.6666018962860107, 'pvals_adj': 7.669217163873678e-06}, {'names': 'IFITM3', 'logfoldchanges': 3.434574604034424, 'pvals_adj': 7.669217163873678e-06}, {'names': 'RPL34', 'logfoldchanges': 2.641800880432129, 'pvals_adj': 7.669217163873678e-06}]"
189,Basal epithelial cells,niche,Tumor surface,12,721,8.171906708585384e-08,0.2628356743377444,"[{'names': 'SERPINA1', 'logfoldchanges': 4.044756889343262, 'pvals_adj': 0.13967632917590297}, {'names': 'LGALS1', 'logfoldchanges': 3.390712261199951, 'pvals_adj': 0.18216832369491717}, {'names': 'ITGB2', 'logfoldchanges': 3.0599124431610107, 'pvals_adj': 0.28653466791495563}, {'names': 'LTB', 'logfoldchanges': 3.754646062850952, 'pvals_adj': 0.28653466791495563}, {'names': 'ITGAX', 'logfoldchanges': 3.460993528366089, 'pvals_adj': 0.28653466791495563}]"
190,Basal epithelial cells,niche,T cell aggregates,9,724,1.4243407199838745e-09,0.2857783047951785,"[{'names': 'CD74', 'logfoldchanges': -1.366908073425293, 'pvals_adj': 0.9327137859096192}, {'names': 'ADGRL4', 'logfoldchanges': 3.9260001182556152, 'pvals_adj': 0.9327137859096192}, {'names': 'CFD', 'logfoldchanges': 3.0788214206695557, 'pvals_adj': 0.9327137859096192}, {'names': 'PTGDR2', 'logfoldchanges': 3.1178226470947266, 'pvals_adj': 0.9327137859096192}, {'names': 'HLA.DRB5', 'logfoldchanges': 0.8332748413085938, 'pvals_adj': 0.9327137859096192}]"
191,Basal epithelial cells,niche,Desmoplastic stroma,6,727,5.09962690781128e-05,0.21970687788791937,"[{'names': 'COL1A1', 'logfoldchanges': 3.658647060394287, 'pvals_adj': 0.9435387784077758}, {'names': 'HLA.B', 'logfoldchanges': 1.1031322479248047, 'pvals_adj': 0.9435387784077758}, {'names': 'ANXA2', 'logfoldchanges': 1.2582082748413086, 'pvals_adj': 0.9435387784077758}, {'names': 'COL9A2', 'logfoldchanges': 3.0718562602996826, 'pvals_adj': 0.9435387784077758}, {'names': 'THBS1', 'logfoldchanges': 2.653535842895508, 'pvals_adj': 0.9435387784077758}]"
192,Basal epithelial cells,niche,Alveolar spaces,4,729,0.0019414977448982376,0.18882544470895946,"[{'names': 'PTGDS', 'logfoldchanges': 5.914793014526367, 'pvals_adj': 0.9631717814011316}, {'names': 'BGN', 'logfoldchanges': 4.705219268798828, 'pvals_adj': 0.9631717814011316}, {'names': 'MGP', 'logfoldchanges': 4.628415584564209, 'pvals_adj': 0.9631717814011316}, {'names': 'KRT8', 'logfoldchanges': 2.8504385948181152, 'pvals_adj': 0.9631717814011316}, {'names': 'HLA.B', 'logfoldchanges': 1.188753604888916, 'pvals_adj': 0.9631717814011316}]"
