,cell_type,level,niche,npos,ncont,pval,effect,dge
107,Mast cells,niche,Macrophage islands,15,365,0.3397200567617139,0.16330737732670816,"[{'names': 'HLA.DQA1', 'logfoldchanges': 3.9079604148864746, 'pvals_adj': 0.991731337254892}, {'names': 'CD74', 'logfoldchanges': 2.3650503158569336, 'pvals_adj': 0.991731337254892}, {'names': 'HLA.DRB1', 'logfoldchanges': 2.1726417541503906, 'pvals_adj': 0.991731337254892}, {'names': 'C1QB', 'logfoldchanges': 2.9189393520355225, 'pvals_adj': 0.991731337254892}, {'names': 'COL1A1', 'logfoldchanges': 1.5464178323745728, 'pvals_adj': 0.991731337254892}]"
108,Mast cells,niche,Tumor core,2,378,0.5685216072665168,0.1419981637092953,<2
109,Smooth muscle cells,global,,1389,0,2.51491918334731e-70,0.20921953981590005,
110,Smooth muscle cells,niche,Smooth muscle structures,733,656,3.10763626285851e-64,0.482370982377179,"[{'names': 'MYH11', 'logfoldchanges': 2.674501895904541, 'pvals_adj': 1.4889489504722204e-22}, {'names': 'CLU', 'logfoldchanges': 2.718717575073242, 'pvals_adj': 7.75647589608179e-21}, {'names': 'TAGLN', 'logfoldchanges': 1.67091965675354, 'pvals_adj': 5.2204071312442164e-20}, {'names': 'MYL9', 'logfoldchanges': 1.4820473194122314, 'pvals_adj': 6.608603426192964e-07}, {'names': 'TPM2', 'logfoldchanges': 1.2447844743728638, 'pvals_adj': 8.645247566117792e-06}]"
111,Smooth muscle cells,niche,Vascular stroma,206,1183,1.655783922703926e-14,0.2473296223450832,"[{'names': 'TIMP1', 'logfoldchanges': 1.9139678478240967, 'pvals_adj': 1.2713074660375223e-06}, {'names': 'COL1A1', 'logfoldchanges': 1.6705293655395508, 'pvals_adj': 5.0965569321801566e-05}, {'names': 'COL3A1', 'logfoldchanges': 1.9565013647079468, 'pvals_adj': 0.00017825581218204055}, {'names': 'HLA.A', 'logfoldchanges': 1.3307275772094727, 'pvals_adj': 0.012781406814768276}, {'names': 'FN1', 'logfoldchanges': 1.3785749673843384, 'pvals_adj': 0.012781406814768276}]"
112,Smooth muscle cells,niche,Excluded,168,1221,0.02557876077643403,0.11681808794523178,"[{'names': 'ADIRF', 'logfoldchanges': 1.0577837228775024, 'pvals_adj': 1.0}, {'names': 'CD74', 'logfoldchanges': 1.017612338066101, 'pvals_adj': 1.0}, {'names': 'HLA.DQB1', 'logfoldchanges': 1.0510565042495728, 'pvals_adj': 1.0}, {'names': 'IGFBP7', 'logfoldchanges': 0.23002895712852478, 'pvals_adj': 1.0}, {'names': 'HLA.DRB1', 'logfoldchanges': 1.0864771604537964, 'pvals_adj': 1.0}]"
113,Smooth muscle cells,niche,Tumor surface,40,1349,1.2479728956254257e-12,0.23317253491009815,"[{'names': 'COL1A1', 'logfoldchanges': 3.9190292358398438, 'pvals_adj': 2.1208612204856974e-06}, {'names': 'HLA.A', 'logfoldchanges': 2.620347499847412, 'pvals_adj': 0.02165342378373547}, {'names': 'COL3A1', 'logfoldchanges': 3.020456075668335, 'pvals_adj': 0.030883403582988002}, {'names': 'BGN', 'logfoldchanges': 2.299459457397461, 'pvals_adj': 0.03978885826316052}, {'names': 'LGALS1', 'logfoldchanges': 2.6309890747070312, 'pvals_adj': 0.03978885826316052}]"
114,Smooth muscle cells,niche,Desmoplastic stroma,115,1274,1.1607225608484927e-20,0.28824832819471485,"[{'names': 'COL1A1', 'logfoldchanges': 3.1811513900756836, 'pvals_adj': 1.7266490437821758e-12}, {'names': 'COL3A1', 'logfoldchanges': 2.1576132774353027, 'pvals_adj': 0.0016843056651104978}, {'names': 'IL32', 'logfoldchanges': 2.8521170616149902, 'pvals_adj': 0.006246280783876134}, {'names': 'LUM', 'logfoldchanges': 2.6025376319885254, 'pvals_adj': 0.036035879078657566}, {'names': 'DCN', 'logfoldchanges': 1.7520920038223267, 'pvals_adj': 0.08435745538244127}]"
115,Smooth muscle cells,niche,Macrophage islands,25,1364,0.3337463954582361,0.08573609994147857,"[{'names': 'MGP', 'logfoldchanges': 2.4183857440948486, 'pvals_adj': 0.9997992682389992}, {'names': 'CD74', 'logfoldchanges': 2.67362380027771, 'pvals_adj': 0.9997992682389992}, {'names': 'HLA.DQB1', 'logfoldchanges': 3.111644744873047, 'pvals_adj': 0.9997992682389992}, {'names': 'TPM2', 'logfoldchanges': 1.3169808387756348, 'pvals_adj': 0.9997992682389992}, {'names': 'HLA.DPA1', 'logfoldchanges': 2.633023500442505, 'pvals_adj': 0.9997992682389992}]"
116,Smooth muscle cells,niche,Airways,19,1370,0.04292122494551449,0.11189798336707527,"[{'names': 'CALD1', 'logfoldchanges': 2.3388020992279053, 'pvals_adj': 0.9969029525727989}, {'names': 'HLA.A', 'logfoldchanges': 2.115961790084839, 'pvals_adj': 0.9969029525727989}, {'names': 'TPM1', 'logfoldchanges': 1.9174550771713257, 'pvals_adj': 0.9969029525727989}, {'names': 'THBS1', 'logfoldchanges': 2.3016252517700195, 'pvals_adj': 0.9969029525727989}, {'names': 'MGP', 'logfoldchanges': 1.8133488893508911, 'pvals_adj': 0.9969029525727989}]"
117,Smooth muscle cells,niche,Alveolar spaces,45,1344,2.3080677405435577e-05,0.1639136161358575,"[{'names': 'GPX3', 'logfoldchanges': 3.235300064086914, 'pvals_adj': 0.19953621094446145}, {'names': 'THBS1', 'logfoldchanges': 2.7597079277038574, 'pvals_adj': 0.3970165633394827}, {'names': 'FOS', 'logfoldchanges': 2.624936819076538, 'pvals_adj': 0.6312160982148438}, {'names': 'BGN', 'logfoldchanges': 1.4535143375396729, 'pvals_adj': 1.0}, {'names': 'RGCC', 'logfoldchanges': 3.4764292240142822, 'pvals_adj': 1.0}]"
118,Smooth muscle cells,niche,T cell aggregates,33,1356,1.1761606008167008e-06,0.1788480474619915,"[{'names': 'COL1A1', 'logfoldchanges': 2.643143892288208, 'pvals_adj': 0.16849330130987375}, {'names': 'COL3A1', 'logfoldchanges': 2.7836954593658447, 'pvals_adj': 0.28247069012830434}, {'names': 'COL1A2', 'logfoldchanges': 2.595996379852295, 'pvals_adj': 0.2905581578618893}, {'names': 'B2M', 'logfoldchanges': 2.285106897354126, 'pvals_adj': 0.2905581578618893}, {'names': 'VIM', 'logfoldchanges': 2.017045021057129, 'pvals_adj': 0.6638224085076386}]"
119,Smooth muscle cells,niche,Tumor core,5,1384,0.019550217110467165,0.11922902649777121,"[{'names': 'COL6A3', 'logfoldchanges': 5.933041572570801, 'pvals_adj': 0.9785541135647411}, {'names': 'COL1A1', 'logfoldchanges': 4.914122104644775, 'pvals_adj': 0.9785541135647411}, {'names': 'FOS', 'logfoldchanges': 5.324397087097168, 'pvals_adj': 0.9785541135647411}, {'names': 'BGN', 'logfoldchanges': 3.854978322982788, 'pvals_adj': 0.9785541135647411}, {'names': 'KRT19', 'logfoldchanges': 6.824949741363525, 'pvals_adj': 0.9785541135647411}]"
120,Pericytes,global,,1483,0,1.4593436609951097e-19,0.13764530593290095,
