cell_type,niche,names,scores,logfoldchanges,pvals,pvals_adj
Fibroblasts,Tumor surface,MS4A1,0.70604736,0.43134856,0.4801586973184492,0.9979578088331161
Fibroblasts,Tumor surface,IL1R1,-5.453981,-0.43093094,4.925446253313297e-08,7.880714005301276e-07
Fibroblasts,Tumor surface,SPP1,1.8258158,0.42999828,0.06787802169334646,0.37666416662203817
Fibroblasts,Tumor surface,AHR,-2.112732,-0.42848614,0.03462371545049409,0.21444365698370535
Fibroblasts,Tumor surface,RAC1,3.4572608,0.4280765,0.0005456962205089725,0.005086100696005958
Fibroblasts,Tumor surface,RORA,1.9173297,0.42405307,0.05519606846686402,0.321140761989027
Fibroblasts,Tumor surface,MMP9,-0.41870573,-0.42200825,0.6754312080130767,0.9979578088331161
Fibroblasts,Tumor surface,PTGIS,-2.7773612,-0.4214362,0.005480226684915143,0.04283239485150273
Fibroblasts,Tumor surface,NPPC,-2.5280166,-0.4208512,0.011470895003966886,0.08279743762261813
Fibroblasts,Tumor surface,CALM2,4.0343494,0.42039874,5.475380212483895e-05,0.0005973142049982431
Fibroblasts,Tumor surface,IGF1R,2.4678226,0.4201185,0.013593767274232144,0.09595600428869748
Fibroblasts,Tumor surface,VIM,5.885405,0.41823253,3.970798405328929e-09,7.059197165029206e-08
Fibroblasts,Tumor surface,EFNA4,1.0937499,0.4157678,0.27406468288493135,0.9979578088331161
Fibroblasts,Tumor surface,FZD6,1.5515366,0.41531393,0.12077315545810695,0.6183535081108649
Fibroblasts,Tumor surface,GZMK,1.30102,0.41255996,0.1932516187455836,0.8485435950308122
Fibroblasts,Tumor surface,APP,3.9909084,0.4107812,6.582073709338931e-05,0.000702087862329486
Fibroblasts,Tumor surface,KRAS,1.6424034,0.4099783,0.10050644919747073,0.5296555101318172
Fibroblasts,Tumor surface,SPRY4,1.0849956,0.40971115,0.27792359968311287,0.9979578088331161
Fibroblasts,Tumor surface,ENTPD1,2.7545962,0.4082971,0.005876459842102065,0.04549517297111275
Fibroblasts,Tumor surface,CEACAM6,1.2774949,0.40521678,0.20142756554826513,0.8594242796725979
Fibroblasts,Tumor surface,TNFRSF12A,4.5166636,0.40311795,6.282164190014044e-06,8.376218920018726e-05
Fibroblasts,Tumor surface,GC,0.663448,0.40232563,0.5070436977471392,0.9979578088331161
Fibroblasts,Tumor surface,KRT1,1.9542135,0.40064284,0.050675974654662566,0.3021673022886712
Fibroblasts,Tumor surface,CD69,-0.5256601,-0.39896527,0.5991243843856313,0.9979578088331161
Fibroblasts,Tumor surface,DPP4,-0.7030448,-0.3989507,0.48202784836541235,0.9979578088331161
Fibroblasts,Tumor surface,GZMB,-0.62037796,-0.3988894,0.5350089899097815,0.9979578088331161
Fibroblasts,Tumor surface,LCN2,0.4878689,0.3966791,0.6256426950305838,0.9979578088331161
Fibroblasts,Tumor surface,KRT15,2.926908,0.39633787,0.003423501150216679,0.028090265847931728
Fibroblasts,Tumor surface,CD53,-1.0198079,-0.39629415,0.30781955408220185,0.9979578088331161
Fibroblasts,Tumor surface,SCGB3A1,-0.48607686,-0.39277402,0.6269126622135737,0.9979578088331161
Fibroblasts,Tumor surface,BMP1,3.2538307,0.3920235,0.0011386015314225457,0.010028050185005907
Fibroblasts,Tumor surface,MYC,1.0414798,0.3915044,0.29765290212265905,0.9979578088331161
Fibroblasts,Tumor surface,RGS1,0.91008407,0.39103192,0.36277818481443347,0.9979578088331161
Fibroblasts,Tumor surface,KRT23,0.74594736,0.3909659,0.45569922000631824,0.9979578088331161
Fibroblasts,Tumor surface,SLC40A1,-2.4128215,-0.38945127,0.015829570235834603,0.10953029242872034
Fibroblasts,Tumor surface,IL16,2.3827686,0.38861865,0.017182989540680146,0.11699056708548183
Fibroblasts,Tumor surface,RGS5,-0.5111428,-0.38835326,0.6092510769632684,0.9979578088331161
Fibroblasts,Tumor surface,CLEC2B,1.0728948,0.38705504,0.28331830846888584,0.9979578088331161
Fibroblasts,Tumor surface,ICAM1,-2.342079,-0.3858849,0.019176657392643535,0.12964500772491405
Fibroblasts,Tumor surface,HIF1A,2.5249846,0.381865,0.011570337625696517,0.08289197104976609
Fibroblasts,Tumor surface,CRIP1,2.130365,0.38071483,0.0331414915149712,0.2065963107426776
Fibroblasts,Tumor surface,INHBB,-0.5415961,-0.38014698,0.5880967591284991,0.9979578088331161
Fibroblasts,Tumor surface,CCL18,-0.54021364,-0.37967363,0.589049710815067,0.9979578088331161
Fibroblasts,Tumor surface,CD163,-0.60962117,-0.37118787,0.5421127731104867,0.9979578088331161
Fibroblasts,Tumor surface,HCAR2,-0.43048522,-0.37017566,0.6668427195236396,0.9979578088331161
Fibroblasts,Tumor surface,TGFBR1,2.3317657,0.36745572,0.01971302102843725,0.13233916214894936
Fibroblasts,Tumor surface,AR,1.0220027,0.36658576,0.30677960340088195,0.9979578088331161
Fibroblasts,Tumor surface,ACTG2,0.68719023,0.36629966,0.4919628736681496,0.9979578088331161
Fibroblasts,Tumor surface,FGFR3,1.0757186,0.36398536,0.28205310723056376,0.9979578088331161
Fibroblasts,Tumor surface,DCN,-9.79657,-0.36245036,1.1647363118286018e-22,4.658945247314407e-21
Fibroblasts,Tumor surface,GDF3,0.70166004,0.36209795,0.48289121475019536,0.9979578088331161
Fibroblasts,Tumor surface,BMX,0.76419127,0.3610686,0.44475325122648235,0.9979578088331161
Fibroblasts,Tumor surface,CUZD1,-0.6636516,-0.3601207,0.5069133224930502,0.9979578088331161
Fibroblasts,Tumor surface,SERPINH1,4.069344,0.35996005,4.7145715908684795e-05,0.0005262777589806675
Fibroblasts,Tumor surface,CDH1,0.7552605,0.35940695,0.45009268179212514,0.9979578088331161
Fibroblasts,Tumor surface,FFAR3,-0.43760586,-0.3589514,0.6616720277253612,0.9979578088331161
Fibroblasts,Tumor surface,IL2,0.53695536,0.35859162,0.5912984338431377,0.9979578088331161
Fibroblasts,Tumor surface,SRGN,-1.7098514,-0.3576831,0.08729335771219576,0.4681654938754633
Fibroblasts,Tumor surface,IFITM3,4.2898912,0.35708475,1.7876055669347278e-05,0.00021451266803216735
Fibroblasts,Tumor surface,XBP1,2.2604167,0.35698405,0.023795397292554598,0.1553985129309688
Fibroblasts,Tumor surface,HLA.DPA1,-2.988532,-0.3550782,0.0028032117215258962,0.023814896041281952
Fibroblasts,Tumor surface,ITGA9,2.226565,0.3543332,0.025976368299522594,0.1662487571169446
Fibroblasts,Tumor surface,FGF7,-2.5476408,-0.35407352,0.010845410461824238,0.07887571244963082
Fibroblasts,Tumor surface,C11orf96,3.9198875,0.35237876,8.85903396219434e-05,0.0009244209351854963
Fibroblasts,Tumor surface,ATG5,1.0542368,0.34945983,0.2917745123871063,0.9979578088331161
Fibroblasts,Tumor surface,NPR3,0.80937237,0.34864503,0.41830097796361687,0.9979578088331161
Fibroblasts,Tumor surface,BATF3,-0.63121617,-0.34834942,0.5278991991912771,0.9979578088331161
Fibroblasts,Tumor surface,CLDN4,1.323305,0.34758428,0.1857339507777992,0.8356378068605756
Fibroblasts,Tumor surface,GPNMB,-2.1349628,-0.34477243,0.03276405299738945,0.20557837174832597
Fibroblasts,Tumor surface,ITGB6,0.65994084,0.3444869,0.5092918108880375,0.9979578088331161
Fibroblasts,Tumor surface,BMP7,-0.60198015,-0.3427737,0.5471873610633164,0.9979578088331161
Fibroblasts,Tumor surface,CYP19A1,0.3901508,0.3406433,0.6964250610836733,0.9979578088331161
Fibroblasts,Tumor surface,IL18R1,-0.46331888,-0.33685184,0.6431358072657953,0.9979578088331161
Fibroblasts,Tumor surface,IL1R2,-0.48355624,-0.33408514,0.628700826825237,0.9979578088331161
Fibroblasts,Tumor surface,PPBP,0.39671028,0.332906,0.691581128554369,0.9979578088331161
Fibroblasts,Tumor surface,CD5L,-0.4013035,-0.33253518,0.6881966895690224,0.9979578088331161
Fibroblasts,Tumor surface,LTB,-0.86898255,-0.33076385,0.3848566690189037,0.9979578088331161
Fibroblasts,Tumor surface,YES1,1.2872878,0.3292596,0.19799399514275562,0.8523508311078268
Fibroblasts,Tumor surface,XCL1,-0.55585325,-0.32705355,0.5783111838597866,0.9979578088331161
Fibroblasts,Tumor surface,HLA.A,4.1008472,0.32650408,4.116404615995454e-05,0.00046491158015948657
Fibroblasts,Tumor surface,CX3CL1,-0.6542909,-0.32604,0.5129243975530707,0.9979578088331161
Fibroblasts,Tumor surface,RXRB,2.0531082,0.3250816,0.04006208273829761,0.24496560145710639
Fibroblasts,Tumor surface,SERPINA1,1.695359,0.32472202,0.09000734727912318,0.480039185488657
Fibroblasts,Tumor surface,KRT20,-0.33889893,-0.32445508,0.734685876130558,0.9979578088331161
Fibroblasts,Tumor surface,HDAC3,1.9066589,0.32407042,0.05656477881838904,0.3251628003931346
Fibroblasts,Tumor surface,ETS1,1.550197,0.32287616,0.12109422867171103,0.6183535081108649
Fibroblasts,Tumor surface,ACKR3,0.93482864,0.32067057,0.34987660488650985,0.9979578088331161
Fibroblasts,Tumor surface,EIF5A,3.2932532,0.3199967,0.000990352489852802,0.008885405516436354
Fibroblasts,Tumor surface,TLR5,-0.440088,-0.31957135,0.659873367607068,0.9979578088331161
Fibroblasts,Tumor surface,TPSB2,-0.42411125,-0.31886172,0.6714846742851874,0.9979578088331161
Fibroblasts,Tumor surface,LEP,-0.35087526,-0.31652713,0.7256819319525758,0.9979578088331161
Fibroblasts,Tumor surface,MRC2,3.4355505,0.31633395,0.0005913511293970365,0.005406638897344334
Fibroblasts,Tumor surface,SOSTDC1,-0.4461384,-0.31475684,0.6554972762302993,0.9979578088331161
Fibroblasts,Tumor surface,CXCL17,0.48814043,0.31363848,0.6254503725001646,0.9979578088331161
Fibroblasts,Tumor surface,SLPI,-0.37308115,-0.31139696,0.7090880458259758,0.9979578088331161
Fibroblasts,Tumor surface,TYK2,3.5553727,0.3112856,0.0003774435736577779,0.003660058896075422
Fibroblasts,Tumor surface,CCL21,-0.84452534,-0.3112087,0.39837592702212776,0.9979578088331161
Fibroblasts,Tumor surface,KLRB1,1.0532707,0.31100863,0.2922169687784272,0.9979578088331161
Fibroblasts,Tumor surface,EOMES,0.2499758,0.31073207,0.8026060644837918,0.9979578088331161
Fibroblasts,Tumor surface,GZMH,-0.4273582,-0.30916518,0.6691184494021558,0.9979578088331161
Fibroblasts,Tumor surface,SCG5,-0.4185496,-0.30831146,0.6755453266167784,0.9979578088331161
Fibroblasts,Tumor surface,MEG3,3.475075,0.30534244,0.0005107106269668703,0.004854180414654318
Fibroblasts,Tumor surface,ADGRE5,0.6236136,0.30475673,0.5328813971833611,0.9979578088331161
Fibroblasts,Tumor surface,BIRC5,1.1380576,0.30431437,0.2550964316926605,0.9979578088331161
Fibroblasts,Tumor surface,OAS1,1.0930734,0.3040683,0.27436159180658237,0.9979578088331161
